STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      161;20140809;   3;   20.4;  17.1;   4.7; 1001.73;   73.50;   2.7;   24.7;   16.1;   13.7;  11.6;   4.9;   4;    7.767;   0;eor
      161;20140810;   3;   19.3;  19.6;   6.8;  999.14;   87.21;   2.1;   24.3;   15.2;   13.5;   7.5;  20.1;   4;    1.850;   0;eor
      161;20140811;   3;   17.4;  13.0;   1.8; 1003.86;   67.83;   3.4;   22.6;   11.9;    9.0;  10.9;   0.2;   4;   11.567;   0;eor
      161;20140812;   3;   17.8;  12.7;   5.0; 1003.34;   64.50;   3.7;   22.5;   13.2;   10.8;  11.5;   0.0;   4;    9.650;   0;eor
      161;20140813;   3;   15.7;  15.5;   7.1;  997.97;   86.88;   1.3;   19.8;   11.8;    9.7;   7.2;  16.2;   4;    1.067;   0;eor
      161;20140814;   3;   15.3;  14.6;   5.8; 1002.48;   84.54;   2.2;   20.5;   10.3;    7.6;  11.0;  12.0;   4;    4.883;   0;eor
      161;20140815;   3;   14.3;  14.8;   7.0; 1004.33;   91.04;   1.0;   17.5;   11.6;    9.7;   5.1;  10.4;   4;    0.383;   0;eor
      161;20140816;   3;   16.1;  14.2;   6.4; 1009.78;   78.67;   1.9;   21.4;   12.1;   10.1;   9.9;   2.9;   4;    4.517;   0;eor
      161;20140817;   3;   16.6;  12.5;   5.3; 1004.19;   67.92;   3.7;   19.5;   11.5;    9.3;  13.0;   0.0;   4;    4.050;   0;eor
      161;20140818;   3;   16.8;  11.8;   6.0;  999.85;   63.08;   3.9;   21.3;   11.1;    8.1;  11.9;   0.7;   4;    5.833;   0;eor
      161;20140819;   3;   13.5;  12.1;   5.0; 1003.38;   79.79;   2.3;   20.5;    8.4;    5.2;  15.1;   4.2;   4;    5.400;   0;eor
      161;20140820;   3;   12.8;  10.7;   3.5; 1007.71;   75.00;   1.4;   19.4;    5.6;    2.6;   7.2;   0.0;   0;    6.533;   0;eor
      161;20140821;   3;   13.1;  10.7;   4.9; 1008.13;   74.67;   1.3;   19.9;    5.7;    2.8;   6.7;   0.0;   0;    4.317;   0;eor
      161;20140822;   3;   14.7;  11.4;   6.7; 1005.07;   70.92;   2.5;   20.1;    6.7;    4.2;   9.6;   0.1;   4;    1.217;   0;eor
      161;20140823;   3;   14.1;  12.5;   6.3; 1005.41;   78.79;   1.9;   20.1;    8.2;    5.3;   9.7;   2.2;   4;    3.683;   0;eor
      161;20140824;   3;   12.8;  11.8;   3.9; 1009.91;   81.08;   1.5;   18.6;    6.9;    3.8;   6.6;   0.5;   4;    7.200;   0;eor
      161;20140825;   3;   14.3;  13.8;   7.8; 1005.42;   85.96;   1.9;   20.1;    9.5;    9.2;   8.1;  27.1;   4;    1.817;   0;eor
      161;20140826;   3;   14.7;  16.1;   7.6;  997.00;   95.42;   1.5;   17.9;   12.7;   12.6;   4.6;  31.8;   4;    0.000;   0;eor
      161;20140827;   3;   16.3;  14.2;   3.0; 1006.40;   78.54;   1.3;   21.2;   11.9;    9.6;   6.5;   0.0;   0;    9.633;   0;eor
      161;20140828;   3;   17.5;  15.8;   5.0; 1007.33;   80.13;   1.9;   23.7;   10.7;    8.6;   8.0;   0.0;   4;    6.617;   0;eor
      161;20140829;   3;   18.4;  17.4;   6.2; 1007.39;   83.29;   1.8;   24.4;   13.4;   10.8;  10.4;   3.1;   4;    4.283;   0;eor
      161;20140830;   3;   16.5;  16.1;   7.7; 1008.72;   87.08;   1.8;   20.9;   12.1;   10.6;   9.2;   1.1;   4;    0.533;   0;eor
      161;20140831;   3;   14.9;  14.8;   6.9; 1006.73;   87.71;   1.3;   19.3;   12.8;   10.7;  10.1;  11.9;   4;    2.333;   0;eor
      161;20140901;   3;   15.4;  14.1;   6.8; 1011.55;   81.58;   1.7;   19.4;   11.8;    9.1;   7.6;   0.0;   0;    1.983;   0;eor
      161;20140902;   3;   15.9;  14.4;   5.8; 1013.00;   81.04;   1.8;   21.6;   10.3;    7.9;   7.9;   0.0;   0;    4.867;   0;eor
      161;20140903;   3;   16.2;  14.5;   5.8; 1013.11;   79.08;   2.1;   18.7;   11.5;    8.7;   8.1;   0.0;   0;    4.333;   0;eor
      161;20140904;   3;   17.7;  16.2;   7.8; 1009.29;   80.25;   2.2;   20.2;   14.0;   11.3;   8.3;   0.0;   4;    0.050;   0;eor
      161;20140905;   3;   19.3;  17.8;   3.7; 1005.52;   81.29;   1.0;   25.3;   15.1;   12.6;   3.6;   0.0;   0;    7.417;   0;eor
      161;20140906;   3;   18.4;  17.6;   5.2; 1004.20;   84.92;   1.4;   24.7;   13.1;   10.4;   6.2;   2.0;   4;    3.400;   0;eor
      161;20140907;   3;   18.7;  17.1;   5.6; 1005.95;   79.83;   1.7;   22.5;   16.2;   14.5;   5.9;   0.0;   0;    5.700;   0;eor
      161;20140908;   3;   18.5;  15.8;   3.8; 1008.36;   75.79;   2.2;   23.7;   14.7;   13.1;   6.5;   0.0;   0;    8.250;   0;eor
      161;20140909;   3;   15.7;  13.1;   2.2; 1010.62;   75.17;   2.4;   20.6;   11.2;    9.0;   6.7;   0.0;   0;    9.250;   0;eor
      161;20140910;   3;   15.3;  12.8;   7.8; 1010.12;   74.42;   2.5;   17.7;   13.1;   12.0;   6.5;   0.0;   0;    0.017;   0;eor
      161;20140911;   3;   16.0;  13.2;   6.0; 1008.89;   73.54;   2.7;   20.8;   11.8;    8.4;   9.9;   0.0;   4;    4.183;   0;eor
      161;20140912;   3;   15.3;  13.1;   5.6; 1011.14;   76.46;   3.6;   21.2;    9.9;    9.0;  11.9;   0.0;   4;    3.300;   0;eor
      161;20140913;   3;   16.7;  15.6;   7.8; 1013.41;   81.88;   2.7;   18.3;   15.2;   14.6;   8.2;   0.0;   4;    0.000;   0;eor
      161;20140914;   3;   16.3;  15.5;   5.4; 1010.92;   83.67;   2.1;   21.4;   11.8;    9.8;   7.3;   0.0;   0;    2.833;   0;eor
      161;20140915;   3;   16.0;  15.5;   5.5; 1007.76;   86.29;   1.4;   21.8;   10.3;    8.1;   6.2;   0.0;   0;    1.633;   0;eor
      161;20140916;   3;   17.1;  16.0;   3.5; 1006.24;   84.29;   1.4;   24.3;   12.2;    9.2;   6.4;   0.0;   0;    6.217;   0;eor
      161;20140917;   3;   16.8;  15.6;   2.1; 1003.90;   83.75;   1.5;   25.4;   10.4;    7.5;   6.2;   1.5;   4;    7.700;   0;eor
      161;20140918;   3;   18.1;  18.7;   5.7; 1002.47;   89.88;   1.6;   24.8;   12.7;   10.5;   7.8;   7.4;   4;    3.083;   0;eor
      161;20140919;   3;   19.4;  19.7;   5.6; 1003.31;   88.46;   1.3;   24.4;   16.2;   14.2;   6.0;   0.1;   4;    3.633;   0;eor
      161;20140920;   3;   17.5;  18.8;   6.2; 1005.65;   94.50;   1.0;   22.3;   14.2;   12.1;   4.4;  26.3;   4;    1.733;   0;eor
      161;20140921;   3;   15.7;  16.2;   5.6; 1007.49;   90.38;   1.7;   17.4;   12.1;    9.7;   8.6;   5.8;   4;    0.317;   0;eor
      161;20140922;   3;   12.7;  11.5;   3.9; 1011.13;   78.92;   2.6;   16.4;    7.4;    4.4;  17.6;   1.1;   4;    4.450;   0;eor
      161;20140923;   3;   10.2;  10.1;   4.2; 1012.23;   84.13;   1.1;   16.8;    6.1;    3.1;   4.1;   0.0;   0;    6.300;   0;eor
      161;20140924;   3;   11.6;  11.4;   6.8; 1005.11;   84.33;   1.3;   17.2;    6.7;    4.8;   5.6;   0.3;   4;    2.067;   0;eor
      161;20140925;   3;   14.2;  12.2;   7.0; 1010.57;   76.67;   1.8;   18.0;   10.2;    7.8;   6.7;   0.4;   4;    1.767;   0;eor
      161;20140926;   3;   14.8;  13.9;   7.6; 1015.71;   82.54;   1.2;   19.1;   10.5;    7.9;   5.4;   0.0;   4;    0.183;   0;eor
      161;20140927;   3;   16.3;  14.9;   3.9; 1018.62;   82.25;   1.0;   22.3;   10.2;    7.4;   4.5;   0.0;   0;    7.617;   0;eor
      161;20140928;   3;   14.6;  14.7;   3.0; 1015.47;   89.00;   1.3;   23.4;    8.4;    6.2;   5.8;   0.0;   0;    6.617;   0;eor
      161;20140929;   3;   16.3;  16.3;   6.8; 1014.63;   88.46;   1.3;   23.3;   10.9;    8.1;   5.0;   1.7;   4;    2.700;   0;eor
      161;20140930;   3;   17.0;  17.2;   6.3; 1016.25;   89.04;   0.9;   21.4;   12.5;   10.0;   3.0;   0.0;   0;    1.683;   0;eor
      161;20141001;   3;   15.9;  15.7;   4.3; 1018.07;   88.21;   1.0;   22.5;   11.5;    9.1;   3.3;   0.0;   0;    4.650;   0;eor
      161;20141002;   3;   15.0;  14.8;   4.2; 1019.55;   88.42;   1.0;   22.4;   10.6;    7.7;   2.8;   0.0;   0;    5.717;   0;eor
      161;20141003;   3;   14.2;  14.2;   2.8; 1016.08;   88.67;   1.1;   22.2;    9.3;    6.2;   4.7;   0.0;   4;    5.850;   0;eor
